memory_id,timestamp,memory_type,content,importance
3b5a17ea-fb56-44d2-8634-9294d4c5c67e,2026-01-06T14:00:27.690628,preference,"User prefers concise, step-by-step technical explanations.",high
fca54ef1-8d67-4013-ac23-88266fba3b6c,2026-01-06T16:41:32.621998,preference,"User prefers concise, step-by-step technical explanations.",high
74e75d74-3efd-40d0-a835-44e1343e5698,2026-01-06T16:41:32.629579,preference,"User prefers answers strictly in numbered bullet points, with no paragraphs.",high
52274cbe-b2d2-4bb7-8e92-c693c1b11169,2026-01-06T16:42:07.065449,preference,"User prefers concise, step-by-step technical explanations.",medium
55e0978c-d59f-4407-ac28-52210b7cbcad,2026-01-06T16:42:07.068468,preference,"User prefers answers strictly in numbered bullet points, with no paragraphs.",high
d73ef20e-4439-4cb5-96e3-8fb0ecdeba0a,2026-01-06T16:46:42.705398,preference,"User prefers concise, step-by-step technical explanations.",high
91c90020-4b4c-4cd2-a86e-a8fda0cd8ac2,2026-01-06T16:46:42.708396,preference,"User prefers answers strictly in numbered bullet points, with no paragraphs.",high
727e6b02-91d8-40bc-bccb-fdf8e64f3f20,2026-01-08T15:43:50.238257,preference,"User prefers concise, step-by-step technical explanations.",high
17ef68e2-ca80-4964-bb99-344008f5193b,2026-01-08T15:43:50.238257,preference,"Formatting Rules (MANDATORY):
            - Use strictly numbered bullet points.
            - Do not use paragraphs",high
71009d97-b1bf-4727-ad58-0cbca5e4db71,2026-01-08T16:18:59.972264,global_preference,Use strictly numbered bullet points. Do not use paragraphs.,high
3af9f533-2f36-497d-9bf6-197cd7d0d4db,2026-01-08T16:18:59.972264,contextual_preference,"User prefers concise, step-by-step technical explanations.",high
25b8fa31-1099-410e-ae8b-4368f93b7cde,2026-01-10T12:19:41.884808,global_preference,Use strictly numbered bullet points. Do not use paragraphs.,high
4faede73-dac0-4ec0-9a48-5d7cb6de0961,2026-01-10T12:19:41.889818,contextual_preference,"User prefers concise, step-by-step technical explanations.",high
